ID;Names;@mail;department
667;Pavel;Dmitriy@gmail.com;mod
668;Pavel;Anton@gmail.com;sen
669;Igor;Fedor@gmail.com;prod
670;Kirill;Anton@gmail.com;dev
671;Dmitriy;Dmitriy@gmail.com;prod
672;Ivan;Igor@gmail.com;tst
673;Anton;Fedor@gmail.com;tst
674;Ivan;Fedor@gmail.com;tst
675;Igor;Kirill@gmail.com;tst
676;Pavel;Dmitriy@gmail.com;dev
677;Igor;Igor@gmail.com;jun
678;Kirill;Anton@gmail.com;sen
679;Pavel;Anton@gmail.com;tst
680;Fedor;Igor@gmail.com;dev
681;Igor;Ivan@gmail.com;mid
682;Ivan;Kirill@gmail.com;prod
683;Igor;Ivan@gmail.com;mid
684;Igor;Igor@gmail.com;mod
685;Kirill;Anton@gmail.com;mod
686;Igor;Kirill@gmail.com;tst
687;Kirill;Kirill@gmail.com;tst
688;Dmitriy;Kirill@gmail.com;tst
689;Kirill;Pavel@gmail.com;prod
690;Anton;Pavel@gmail.com;jun
691;Dmitriy;Pavel@gmail.com;tst
692;Dmitriy;Dmitriy@gmail.com;mod
693;Kirill;Igor@gmail.com;sen
694;Kirill;Kirill@gmail.com;mod
695;Ivan;Dmitriy@gmail.com;sen
696;Pavel;Anton@gmail.com;sen
697;Anton;Igor@gmail.com;tst
698;Dmitriy;Anton@gmail.com;prod
699;Kirill;Fedor@gmail.com;mid
700;Anton;Pavel@gmail.com;jun
701;Ivan;Fedor@gmail.com;mid
702;Kirill;Kirill@gmail.com;mod
703;Anton;Pavel@gmail.com;mid
704;Anton;Dmitriy@gmail.com;dev
705;Dmitriy;Pavel@gmail.com;dev
706;Dmitriy;Kirill@gmail.com;mid
707;Igor;Ivan@gmail.com;mod
708;Anton;Kirill@gmail.com;mod
709;Ivan;Kirill@gmail.com;sen
710;Ivan;Igor@gmail.com;tst
711;Pavel;Dmitriy@gmail.com;mid
712;Kirill;Anton@gmail.com;dev
713;Ivan;Ivan@gmail.com;prod
714;Igor;Fedor@gmail.com;tst
715;Dmitriy;Anton@gmail.com;jun
716;Anton;Fedor@gmail.com;jun
717;Fedor;Fedor@gmail.com;sen
718;Anton;Pavel@gmail.com;jun
719;Ivan;Pavel@gmail.com;jun
720;Anton;Ivan@gmail.com;tst
721;Igor;Kirill@gmail.com;sen
722;Fedor;Dmitriy@gmail.com;sen
723;Dmitriy;Anton@gmail.com;mid
724;Dmitriy;Anton@gmail.com;mid
725;Kirill;Pavel@gmail.com;sen
726;Igor;Igor@gmail.com;prod
727;Fedor;Ivan@gmail.com;mid
728;Dmitriy;Pavel@gmail.com;prod
729;Igor;Kirill@gmail.com;tst
730;Igor;Dmitriy@gmail.com;mid
731;Ivan;Pavel@gmail.com;dev
732;Ivan;Fedor@gmail.com;prod
733;Kirill;Anton@gmail.com;jun
734;Ivan;Pavel@gmail.com;sen
735;Igor;Fedor@gmail.com;sen
736;Fedor;Kirill@gmail.com;mod
737;Fedor;Anton@gmail.com;tst
738;Anton;Dmitriy@gmail.com;sen
739;Anton;Fedor@gmail.com;mid
740;Fedor;Anton@gmail.com;tst
741;Pavel;Anton@gmail.com;mid
742;Ivan;Ivan@gmail.com;tst
743;Igor;Fedor@gmail.com;dev
744;Fedor;Fedor@gmail.com;dev
745;Igor;Kirill@gmail.com;sen
746;Anton;Igor@gmail.com;dev
747;Kirill;Anton@gmail.com;dev
748;Pavel;Fedor@gmail.com;mid
749;Kirill;Igor@gmail.com;mid
750;Anton;Fedor@gmail.com;sen
751;Igor;Kirill@gmail.com;jun
752;Pavel;Fedor@gmail.com;mod
753;Igor;Kirill@gmail.com;prod
754;Kirill;Dmitriy@gmail.com;dev
755;Fedor;Ivan@gmail.com;dev
756;Ivan;Dmitriy@gmail.com;mid
757;Ivan;Igor@gmail.com;jun
758;Ivan;Dmitriy@gmail.com;prod
759;Kirill;Ivan@gmail.com;jun
760;Fedor;Anton@gmail.com;dev
761;Dmitriy;Kirill@gmail.com;jun
762;Fedor;Dmitriy@gmail.com;mid
763;Kirill;Pavel@gmail.com;mod
764;Pavel;Pavel@gmail.com;sen
765;Anton;Igor@gmail.com;sen
766;Fedor;Ivan@gmail.com;jun
767;Igor;Anton@gmail.com;sen
768;Anton;Anton@gmail.com;sen
769;Fedor;Pavel@gmail.com;mod
770;Igor;Dmitriy@gmail.com;sen
771;Pavel;Ivan@gmail.com;tst
772;Pavel;Anton@gmail.com;jun
773;Fedor;Igor@gmail.com;jun
774;Dmitriy;Kirill@gmail.com;mid
775;Kirill;Pavel@gmail.com;sen
776;Anton;Kirill@gmail.com;mid
777;Kirill;Pavel@gmail.com;sen
778;Igor;Ivan@gmail.com;dev
779;Fedor;Igor@gmail.com;tst
780;Pavel;Kirill@gmail.com;jun
781;Dmitriy;Kirill@gmail.com;mid
782;Pavel;Kirill@gmail.com;tst
783;Igor;Pavel@gmail.com;mod
784;Pavel;Ivan@gmail.com;prod
785;Ivan;Dmitriy@gmail.com;mid
786;Ivan;Kirill@gmail.com;tst
787;Anton;Fedor@gmail.com;mid
788;Pavel;Dmitriy@gmail.com;mid
789;Kirill;Pavel@gmail.com;dev
790;Pavel;Kirill@gmail.com;mod
791;Igor;Ivan@gmail.com;mod
792;Ivan;Igor@gmail.com;sen
793;Igor;Dmitriy@gmail.com;jun
794;Anton;Igor@gmail.com;mid
795;Anton;Ivan@gmail.com;dev
796;Kirill;Kirill@gmail.com;dev
797;Fedor;Pavel@gmail.com;mod
798;Kirill;Kirill@gmail.com;tst
799;Pavel;Ivan@gmail.com;mid
800;Kirill;Pavel@gmail.com;sen
801;Dmitriy;Anton@gmail.com;mod
802;Dmitriy;Dmitriy@gmail.com;dev
803;Ivan;Kirill@gmail.com;dev
804;Igor;Ivan@gmail.com;sen
805;Ivan;Dmitriy@gmail.com;mid
806;Igor;Fedor@gmail.com;dev
807;Anton;Dmitriy@gmail.com;sen
808;Kirill;Kirill@gmail.com;tst
809;Igor;Kirill@gmail.com;dev
810;Kirill;Pavel@gmail.com;sen
811;Fedor;Kirill@gmail.com;mod
812;Ivan;Fedor@gmail.com;prod
813;Anton;Dmitriy@gmail.com;sen
814;Anton;Pavel@gmail.com;prod
815;Igor;Pavel@gmail.com;mod
816;Fedor;Dmitriy@gmail.com;dev
817;Kirill;Fedor@gmail.com;prod
818;Pavel;Anton@gmail.com;prod
819;Kirill;Igor@gmail.com;mod
820;Ivan;Ivan@gmail.com;jun
821;Igor;Dmitriy@gmail.com;tst
822;Dmitriy;Ivan@gmail.com;sen
823;Igor;Anton@gmail.com;prod
824;Anton;Fedor@gmail.com;jun
825;Anton;Fedor@gmail.com;mod
826;Dmitriy;Anton@gmail.com;tst
827;Fedor;Pavel@gmail.com;sen
828;Dmitriy;Kirill@gmail.com;mod
829;Igor;Pavel@gmail.com;mod
830;Dmitriy;Dmitriy@gmail.com;mid
831;Fedor;Anton@gmail.com;sen
832;Pavel;Dmitriy@gmail.com;mod
833;Igor;Ivan@gmail.com;tst
834;Ivan;Pavel@gmail.com;dev
835;Anton;Fedor@gmail.com;sen
836;Igor;Kirill@gmail.com;sen
837;Pavel;Pavel@gmail.com;mod
838;Pavel;Kirill@gmail.com;dev
839;Kirill;Ivan@gmail.com;dev
840;Dmitriy;Fedor@gmail.com;tst
841;Anton;Fedor@gmail.com;mid
842;Igor;Kirill@gmail.com;dev
843;Anton;Igor@gmail.com;prod
844;Ivan;Igor@gmail.com;jun
845;Igor;Ivan@gmail.com;sen
846;Ivan;Kirill@gmail.com;jun
847;Anton;Pavel@gmail.com;tst
848;Anton;Anton@gmail.com;mid
849;Anton;Anton@gmail.com;dev
850;Kirill;Pavel@gmail.com;prod
851;Kirill;Ivan@gmail.com;sen
852;Kirill;Ivan@gmail.com;jun
853;Ivan;Dmitriy@gmail.com;mid
854;Igor;Fedor@gmail.com;prod
855;Igor;Ivan@gmail.com;mid
856;Pavel;Igor@gmail.com;dev
857;Ivan;Igor@gmail.com;sen
858;Pavel;Ivan@gmail.com;prod
859;Dmitriy;Igor@gmail.com;mod
860;Igor;Kirill@gmail.com;dev
861;Dmitriy;Kirill@gmail.com;jun
862;Dmitriy;Ivan@gmail.com;sen
863;Igor;Ivan@gmail.com;prod
864;Fedor;Fedor@gmail.com;dev
865;Ivan;Ivan@gmail.com;jun
866;Fedor;Kirill@gmail.com;dev
867;Igor;Pavel@gmail.com;mid
868;Pavel;Anton@gmail.com;dev
869;Kirill;Kirill@gmail.com;mid
870;Kirill;Ivan@gmail.com;mid
871;Pavel;Kirill@gmail.com;jun
872;Ivan;Ivan@gmail.com;dev
873;Ivan;Dmitriy@gmail.com;prod
874;Fedor;Pavel@gmail.com;sen
875;Dmitriy;Ivan@gmail.com;dev
876;Ivan;Kirill@gmail.com;mod
877;Dmitriy;Kirill@gmail.com;dev
878;Fedor;Dmitriy@gmail.com;dev
879;Ivan;Anton@gmail.com;jun
880;Anton;Ivan@gmail.com;tst
881;Anton;Ivan@gmail.com;prod
882;Kirill;Pavel@gmail.com;prod
883;Kirill;Igor@gmail.com;prod
884;Igor;Anton@gmail.com;tst
885;Igor;Dmitriy@gmail.com;prod
886;Kirill;Kirill@gmail.com;sen
887;Pavel;Pavel@gmail.com;sen
888;Anton;Dmitriy@gmail.com;tst
889;Dmitriy;Kirill@gmail.com;mid
890;Kirill;Fedor@gmail.com;mod
891;Pavel;Dmitriy@gmail.com;prod
892;Anton;Kirill@gmail.com;prod
893;Pavel;Kirill@gmail.com;prod
894;Anton;Kirill@gmail.com;dev
895;Kirill;Pavel@gmail.com;mod
896;Fedor;Dmitriy@gmail.com;mid
897;Fedor;Anton@gmail.com;sen
898;Fedor;Pavel@gmail.com;dev
899;Igor;Anton@gmail.com;jun
900;Anton;Pavel@gmail.com;dev
901;Pavel;Fedor@gmail.com;sen
902;Dmitriy;Fedor@gmail.com;prod
903;Anton;Anton@gmail.com;jun
904;Pavel;Dmitriy@gmail.com;jun
905;Anton;Ivan@gmail.com;sen
906;Ivan;Kirill@gmail.com;sen
907;Kirill;Anton@gmail.com;jun
908;Kirill;Igor@gmail.com;sen
909;Igor;Fedor@gmail.com;prod
910;Pavel;Kirill@gmail.com;mid
911;Anton;Kirill@gmail.com;prod
912;Anton;Kirill@gmail.com;prod
913;Kirill;Kirill@gmail.com;mid
914;Pavel;Anton@gmail.com;mod
915;Pavel;Igor@gmail.com;prod
916;Dmitriy;Anton@gmail.com;sen
917;Anton;Pavel@gmail.com;tst
918;Dmitriy;Igor@gmail.com;mid
919;Pavel;Dmitriy@gmail.com;mod
920;Anton;Dmitriy@gmail.com;prod
921;Pavel;Anton@gmail.com;sen
922;Dmitriy;Kirill@gmail.com;sen
923;Dmitriy;Ivan@gmail.com;dev
924;Dmitriy;Ivan@gmail.com;sen
925;Kirill;Pavel@gmail.com;prod
926;Igor;Pavel@gmail.com;jun
927;Kirill;Anton@gmail.com;tst
928;Igor;Anton@gmail.com;sen
929;Dmitriy;Dmitriy@gmail.com;mid
930;Kirill;Pavel@gmail.com;tst
931;Dmitriy;Igor@gmail.com;dev
932;Ivan;Igor@gmail.com;mod
933;Kirill;Kirill@gmail.com;mid
934;Anton;Pavel@gmail.com;tst
935;Pavel;Igor@gmail.com;prod
936;Igor;Igor@gmail.com;dev
937;Anton;Dmitriy@gmail.com;mid
938;Pavel;Fedor@gmail.com;jun
939;Fedor;Kirill@gmail.com;jun
940;Anton;Dmitriy@gmail.com;sen
941;Ivan;Dmitriy@gmail.com;mid
942;Dmitriy;Dmitriy@gmail.com;sen
943;Anton;Pavel@gmail.com;jun
944;Kirill;Dmitriy@gmail.com;mid
945;Pavel;Fedor@gmail.com;dev
946;Kirill;Igor@gmail.com;mid
947;Igor;Kirill@gmail.com;mod
948;Anton;Ivan@gmail.com;dev
949;Anton;Igor@gmail.com;dev
950;Dmitriy;Anton@gmail.com;mid
951;Anton;Dmitriy@gmail.com;prod
952;Fedor;Ivan@gmail.com;sen
953;Igor;Ivan@gmail.com;prod
954;Fedor;Pavel@gmail.com;mod
955;Ivan;Kirill@gmail.com;sen
956;Igor;Ivan@gmail.com;sen
957;Kirill;Ivan@gmail.com;mid
958;Dmitriy;Anton@gmail.com;sen
959;Kirill;Pavel@gmail.com;mid
960;Igor;Ivan@gmail.com;sen
961;Igor;Ivan@gmail.com;dev
962;Pavel;Dmitriy@gmail.com;prod
963;Pavel;Ivan@gmail.com;sen
964;Anton;Fedor@gmail.com;mod
965;Ivan;Kirill@gmail.com;tst
966;Ivan;Kirill@gmail.com;dev
967;Kirill;Kirill@gmail.com;tst
968;Fedor;Fedor@gmail.com;tst
969;Pavel;Fedor@gmail.com;sen
970;Kirill;Ivan@gmail.com;sen
971;Dmitriy;Kirill@gmail.com;mod
972;Dmitriy;Pavel@gmail.com;sen
973;Ivan;Ivan@gmail.com;sen
974;Anton;Dmitriy@gmail.com;jun
975;Fedor;Pavel@gmail.com;jun
976;Fedor;Kirill@gmail.com;mid
977;Dmitriy;Pavel@gmail.com;dev
978;Dmitriy;Anton@gmail.com;dev
979;Kirill;Pavel@gmail.com;jun
980;Igor;Igor@gmail.com;jun
981;Fedor;Kirill@gmail.com;sen
982;Anton;Igor@gmail.com;prod
983;Ivan;Pavel@gmail.com;mod
984;Pavel;Ivan@gmail.com;tst
985;Dmitriy;Dmitriy@gmail.com;mod
986;Dmitriy;Igor@gmail.com;prod
987;Ivan;Igor@gmail.com;tst
988;Pavel;Pavel@gmail.com;sen
989;Igor;Ivan@gmail.com;mid
990;Dmitriy;Igor@gmail.com;sen
991;Pavel;Fedor@gmail.com;dev
992;Igor;Pavel@gmail.com;mid
993;Ivan;Dmitriy@gmail.com;sen
994;Dmitriy;Fedor@gmail.com;prod
995;Igor;Dmitriy@gmail.com;mod
996;Anton;Anton@gmail.com;tst
997;Kirill;Dmitriy@gmail.com;sen
998;Ivan;Pavel@gmail.com;prod
999;Pavel;Igor@gmail.com;mod
1000;Ivan;Kirill@gmail.com;dev
